0	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
8	141	144	145	145	145	145	145	146	148	149	149	150	151	151	152	153	155	157	157	158	160	162	164	166	169	169
12	1831	1875	1924	1975	2022	2071	2118	2164	2220	2273	2321	2378	2428	2487	2538	2587	2639	2697	2741	2792	2837	2896	2938	2974	3028	3067
24	173	178	179	186	191	192	200	208	213	220	224	230	236	242	250	254	277	285	308	324	343	354	364	372	379	389
32	44	46	46	47	48	50	50	52	52	53	54	55	55	56	57	58	59	60	60	60	60	60	61	61	61	62
36	36	36	36	36	36	37	38	38	38	39	40	41	41	43	43	44	44	44	44	44	45	45	45	45	45	48
44	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4
48	7	7	7	8	8	8	8	8	9	9	9	9	9	9	10	10	10	10	10	10	10	10	11	12	12	12
50	800	812	827	839	849	860	880	887	909	920	937	954	966	987	1002	1020	1036	1049	1071	1085	1103	1116	1139	1156	1168	1185
52	16	16	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	17	17	17	17	18	18	18
56	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
70	47	47	47	47	45	38	45	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47
76	1564	1593	1617	1643	1668	1698	1717	1739	1759	1783	1810	1832	1852	1868	1893	1918	1939	1957	1983	2002	2026	2045	2067	2086	2108	2123
84	13	13	13	14	15	16	17	17	17	18	20	20	20	20	21	21	22	24	25	25	25	25	25	25	25	25
90	42	44	48	52	53	54	55	57	60	62	65	70	75	79	83	84	85	86	87	92	94	98	100	103	106	109
96	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
100	81	81	81	80	80	80	80	79	79	79	79	79	79	79	79	79	78	78	78	77	77	77	77	77	77	77
104	1700	1745	1785	1817	1855	1896	1934	1965	2004	2040	2070	2108	2138	2186	2220	2248	2287	2318	2351	2384	2415	2444	2482	2507	2539	2569
116	85	85	85	85	85	85	87	90	93	97	99	101	102	102	104	108	110	113	115	116	118	118	120	123	125	127
120	133	138	141	152	155	156	162	167	169	175	180	186	191	196	203	207	210	215	222	226	231	240	245	253	258	263
124	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
132	29	29	30	31	34	35	35	36	37	37	37	38	39	40	41	41	43	45	45	46	48	50	51	52	54	54
144	7437	7515	7591	7675	7749	7836	7910	7989	8072	8146	8226	8312	8403	8493	8592	8673	8770	8869	8973	9066	9162	9256	9357	9457	9547	9652
152	72	73	76	77	77	78	79	80	83	84	85	87	89	91	93	95	96	97	99	99	99	99	101	102	102	102
156	25845	26143	26430	26730	27017	27302	27558	27826	28066	28301	28560	28775	28968	29157	29368	29568	29758	29970	30158	30355	30553	30738	30931	31141	31318	31538
170	315	318	322	324	325	328	331	336	343	350	356	366	369	373	378	385	391	393	397	400	407	414	417	425	428	435
174	164	169	173	179	183	189	197	202	208	215	221	228	235	241	248	256	262	271	278	285	293	304	312	318	326	335
178	45	46	47	50	53	53	55	57	57	59	62	63	66	68	69	71	72	75	76	77	81	82	85	86	89	91
180	14	14	15	15	16	18	18	18	19	19	20	21	24	24	24	24	24	26	27	27	27	28	29	31	31	31
188	235	241	248	252	258	267	272	275	278	288	294	299	302	310	315	320	324	330	342	349	353	357	364	367	372	378
191	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91	91
192	399	399	402	403	405	410	410	412	413	415	418	420	420	421	424	425	427	427	427	428	428	429	431	431	432	435
196	4	4	4	4	5	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8
204	166	169	176	181	185	190	197	204	208	212	219	227	233	240	247	251	262	270	278	284	294	304	310	320	330	340
208	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
214	435	447	458	466	476	480	492	500	508	518	527	531	541	547	556	563	567	579	588	592	601	608	616	623	631	637
218	328	333	347	352	358	369	375	384	391	397	405	414	423	430	437	443	450	457	464	469	475	486	491	498	508	515
222	445	454	465	476	485	493	506	516	529	541	552	559	574	587	599	608	618	628	642	651	662	667	681	691	701	710
226	16	16	16	16	17	18	18	19	19	19	20	21	21	21	21	22	22	23	24	24	24	24	24	24	24	26
232	26	26	27	27	27	28	29	30	31	31	33	34	34	34	34	35	35	36	38	38	38	38	38	39	44	49
233	25	24	24	24	24	24	23	23	23	23	23	23	22	22	22	22	22	22	21	20	20	20	20	20	20	20
242	195	197	199	199	201	210	212	215	219	222	225	225	231	235	238	241	245	249	260	264	265	270	271	274	276	284
246	8	8	8	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
250	65	65	67	67	67	67	67	67	67	68	68	68	68	68	70	70	70	70	70	70	70	70	70	70	70	70
258	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3
262	61	64	66	68	71	73	76	79	80	83	84	86	88	90	94	95	97	99	103	104	107	108	111	112	115	116
266	11	11	11	12	13	13	13	13	13	15	15	15	15	15	16	17	17	22	23	24	25	25	25	25	27	27
268	78	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	78	79	79	79	79	80	80
270	31	32	34	35	36	37	39	39	40	41	41	42	43	44	45	46	48	50	51	52	53	54	54	55	56	57
276	62	62	62	62	62	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63
288	354	367	378	389	404	411	423	436	446	457	468	484	496	513	528	543	556	571	584	596	614	627	644	664	681	693
300	31	32	32	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
312	23	24	24	24	26	26	26	27	27	28	28	28	28	28	29	29	29	29	29	29	29	31	31	31	31	31
316	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
320	514	536	562	581	601	623	643	661	681	699	718	742	760	781	804	820	842	864	887	911	930	951	978	1000	1024	1044
324	89	95	98	100	105	108	108	109	111	112	116	120	121	124	126	130	132	136	139	147	150	155	158	162	165	169
328	99	100	102	103	109	113	114	116	118	119	121	123	124	126	126	127	128	130	132	134	134	136	137	137	138	140
332	540	544	549	551	553	554	565	579	590	600	608	617	635	645	656	671	685	693	708	719	734	751	762	775	791	807
340	172	178	184	189	193	198	205	213	219	226	234	241	246	250	256	265	267	272	279	285	290	299	306	312	315	321
344	92	93	94	96	99	100	100	101	102	102	103	103	104	104	104	104	104	105	105	105	106	106	106	106	106	106
352	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
356	2322	2366	2410	2462	2507	2552	2596	2642	2679	2724	2761	2812	2854	2897	2944	2977	3011	3054	3098	3130	3168	3204	3230	3257	3296	3331
360	12483	12682	12884	13113	13336	13544	13761	13990	14213	14426	14628	14821	15021	15227	15414	15611	15773	15943	16121	16300	16460	16632	16806	16988	17158	17301
364	323	328	332	334	335	352	387	391	395	407	444	453	459	467	471	474	480	482	490	507	543	545	553	562	570	592
